time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2022-06-19,0.0,0.0,,-9.2,0.0,0.0,,-9.3
2022-06-20,0.0,0.0,0.0,-9.6,0.0,0.0,0.0,-9.5
2022-06-21,0.0,0.0,0.0,-8.8,0.0,0.0,0.0,-8.8
2022-06-22,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-13.2
2022-06-23,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-12.2
2022-06-24,0.0,0.0,0.0,-10.9,0.0,0.0,0.0,-11.2
2022-06-25,0.0,0.0,0.0,-9.7,0.0,0.0,0.0,-9.9
2022-06-26,0.0,0.0,0.0,-6.7,0.0,0.0,0.0,-6.8
2022-06-27,0.0,0.0,0.0,-5.8,0.0,0.0,0.0,-5.9
2022-06-28,0.0,0.0,0.0,-6.1,0.0,0.0,0.0,-6.2
2022-06-29,0.0,0.0,0.0,-5.6,0.0,0.0,0.0,-5.7
2022-06-30,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,-6.8
2022-07-01,0.0,0.0,0.0,-5.3,0.0,0.0,0.0,-5.3
2022-07-02,0.0,0.0,0.0,-6.9,0.0,0.0,0.0,-6.8
2022-07-03,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-5.1
2022-07-04,0.0,0.0,0.0,-5.9,0.0,0.0,0.0,-6.0
2022-07-05,0.0,0.0,0.0,-7.9,0.0,0.0,0.0,-7.9
2022-07-06,0.0,0.0,0.0,-7.7,0.0,0.0,0.0,-7.7
2022-07-07,0.0,0.0,0.0,-8.3,0.0,0.0,0.0,-8.4
2022-07-08,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-5.8
2022-07-09,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-5.1
2022-07-10,0.0,0.0,0.0,-5.1,0.0,0.0,0.0,-5.1
2022-07-11,0.1,0.1,0.1,-4.3,0.0,0.0,0.0,-4.4
2022-07-12,0.2,0.2,0.2,-8.3,0.2,0.2,0.2,-8.4
2022-07-13,0.2,0.2,0.0,-3.7,0.2,0.2,0.0,-3.7
2022-07-14,0.2,0.2,0.0,-2.3,0.2,0.2,0.0,-2.4
2022-07-15,0.2,0.2,0.0,-2.2,0.2,0.2,0.0,-2.2
2022-07-16,0.2,0.3,0.0,0.3,0.4,0.4,0.2,0.3
2022-07-17,0.0,0.0,-0.3,-3.2,0.0,0.0,-0.4,-3.3
2022-07-18,0.0,0.0,0.0,-4.2,0.0,0.0,0.0,-4.3
2022-07-19,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-4.0
2022-07-20,0.0,0.0,0.0,-3.1,0.0,0.0,0.0,-3.1
2022-07-21,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,-2.7
2022-07-22,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,-0.4
2022-07-23,0.0,0.0,0.0,-2.6,0.0,0.0,0.0,-2.6
2022-07-24,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,-4.5
2022-07-25,0.0,0.0,0.0,-7.1,0.0,0.0,0.0,-7.2
2022-07-26,0.0,0.0,0.0,-8.3,0.0,0.0,0.0,-8.5
2022-07-27,0.0,0.0,0.0,-7.7,0.0,0.0,0.0,-7.9
2022-07-28,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-10.1
2022-07-29,0.0,0.0,0.0,-9.5,0.0,0.0,0.0,-9.6
2022-07-30,0.0,0.0,0.0,-9.1,0.0,0.0,0.0,-9.2
2022-07-31,0.0,0.0,0.0,-7.5,0.0,0.0,0.0,-7.5
2022-08-01,0.0,0.0,0.0,-6.6,0.0,0.0,0.0,-6.7
2022-08-02,0.0,0.0,0.0,-7.4,0.0,0.0,0.0,-7.4
2022-08-03,0.0,0.0,0.0,-9.2,0.0,0.0,0.0,-9.2
2022-08-04,0.0,0.0,0.0,-9.7,0.0,0.0,0.0,-9.8
2022-08-05,0.0,0.0,0.0,-9.9,0.0,0.0,0.0,-9.9
2022-08-06,0.0,0.0,0.0,-11.9,0.0,0.0,0.0,-11.9
2022-08-07,0.0,0.0,0.0,-11.2,0.0,0.0,0.0,-11.3
2022-08-08,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,-6.8
2022-08-09,0.0,0.0,0.0,-12.2,0.0,0.0,0.0,-12.2
2022-08-10,0.0,0.0,0.0,-9.6,0.0,0.0,0.0,-9.6
2022-08-11,0.0,0.0,0.0,-8.5,0.0,0.0,0.0,-8.5
